id      | user_id | product_id | quantity | total   | status     | ordered_at                             | shipped_at                             | notes
1870451 |   90521 |     375845 |        2 | 1009.99 | returned   | 2026-04-03 04:33:14.264185 +0000 +0000 | 2026-01-09 02:23:37.962313 +0000 +0000 |      
1889544 |  114515 |     368114 |        5 | 1009.99 | pending    | 2026-04-28 10:08:43.723353 +0000 +0000 | NULL                                   |      
 509762 |   15135 |     381954 |        6 | 1009.99 | processing | 2026-04-14 11:49:42.578264 +0000 +0000 | NULL                                   |      
1462210 |  366707 |     143030 |        3 | 1009.99 | delivered  | 2026-01-03 04:23:46.441326 +0000 +0000 | 2026-04-30 04:21:07.506689 +0000 +0000 |      
 260156 |  129205 |     222738 |        5 | 1009.99 | pending    | 2026-04-28 12:45:37.221635 +0000 +0000 | NULL                                   |      
1858436 |  264167 |      17221 |        5 | 1009.99 | cancelled  | 2026-01-18 22:37:52.350751 +0000 +0000 | NULL                                   |      
 472749 |  452319 |     123554 |        1 | 1009.99 | processing | 2025-12-03 01:49:56.740511 +0000 +0000 | 2025-12-14 07:32:43.974412 +0000 +0000 |      
1620782 |  287627 |     125713 |       10 | 1009.99 | pending    | 2026-02-20 18:23:28.329139 +0000 +0000 | NULL                                   |      
1056523 |  300518 |      18397 |        7 | 1009.98 | processing | 2026-03-09 02:31:34.776465 +0000 +0000 | 2026-03-03 13:46:03.066475 +0000 +0000 |      
 676062 |  426478 |     249044 |        2 | 1009.98 | processing | 2026-01-10 04:26:27.546133 +0000 +0000 | 2025-12-31 23:02:09.473396 +0000 +0000 |      
 188673 |  335684 |      92157 |        4 | 1009.98 | delivered  | 2026-02-12 02:38:52.342643 +0000 +0000 | 2026-01-06 15:26:29.695539 +0000 +0000 |      
 594730 |   84085 |     173070 |       11 | 1009.98 | cancelled  | 2025-11-28 14:33:56.595454 +0000 +0000 | 2026-01-13 01:17:47.807691 +0000 +0000 |      
1094769 |   11025 |      67015 |       10 | 1009.98 | shipped    | 2026-02-20 14:09:34.608995 +0000 +0000 | 2025-12-11 09:12:21.400175 +0000 +0000 |      
1916636 |   22766 |     352672 |       11 | 1009.98 | returned   | 2026-02-01 03:54:25.680613 +0000 +0000 | NULL                                   |      
1194279 |  385221 |     294054 |        5 | 1009.98 | delivered  | 2026-02-14 14:20:41.571243 +0000 +0000 | 2026-02-14 13:51:32.250298 +0000 +0000 |      
1320962 |  415252 |     338245 |        7 | 1009.98 | processing | 2026-02-18 21:37:28.220997 +0000 +0000 | 2025-12-24 09:49:57.619448 +0000 +0000 |      
1619915 |  217415 |     400343 |       10 | 1009.98 | shipped    | 2026-02-09 19:28:58.064695 +0000 +0000 | NULL                                   |      
1191248 |  265016 |     192908 |        5 | 1009.98 | delivered  | 2026-04-01 17:38:33.461238 +0000 +0000 | 2026-04-23 00:46:58.984392 +0000 +0000 |      
1589828 |  290538 |     365653 |        1 | 1009.98 | delivered  | 2026-02-15 23:06:26.8805 +0000 +0000   | 2026-03-07 23:53:31.885355 +0000 +0000 |      
 172321 |   67024 |     126736 |        6 | 1009.98 | cancelled  | 2025-12-10 23:58:50.495121 +0000 +0000 | 2026-02-27 16:23:38.663767 +0000 +0000 |      
1093249 |  473620 |      49443 |       11 | 1009.98 | processing | 2026-01-04 12:34:33.160398 +0000 +0000 | 2026-01-16 08:36:24.081197 +0000 +0000 |      
 402848 |  490010 |     173662 |        8 | 1009.98 | returned   | 2026-03-11 12:41:56.309388 +0000 +0000 | NULL                                   |      
1897239 |  292977 |     482876 |        3 | 1009.98 | pending    | 2026-04-15 16:59:48.709584 +0000 +0000 | NULL                                   |      
  68012 |  318159 |     194566 |        9 | 1009.98 | shipped    | 2026-05-17 22:10:26.200084 +0000 +0000 | NULL                                   |      
 643466 |  401039 |     270897 |        9 | 1009.98 | cancelled  | 2025-12-09 17:57:19.308335 +0000 +0000 | 2026-02-10 18:57:37.899124 +0000 +0000 |      
 222889 |  466855 |     200946 |        6 | 1009.98 | processing | 2026-04-04 11:16:06.525831 +0000 +0000 | 2025-12-06 08:39:39.128723 +0000 +0000 |      
 481366 |  215753 |     195362 |        8 | 1009.97 | cancelled  | 2026-01-31 22:39:01.226898 +0000 +0000 | 2026-01-04 14:27:28.459403 +0000 +0000 |      
 256480 |   36358 |      89965 |        4 | 1009.97 | processing | 2026-04-30 12:33:01.215112 +0000 +0000 | 2026-05-03 07:19:17.374378 +0000 +0000 |      
  33049 |  137674 |     208780 |       10 | 1009.97 | shipped    | 2026-01-28 15:41:34.419752 +0000 +0000 | 2025-12-23 05:11:14.91028 +0000 +0000  |      
 559477 |  486021 |     331959 |        9 | 1009.97 | shipped    | 2026-03-24 16:40:42.713972 +0000 +0000 | 2026-04-18 00:22:56.017 +0000 +0000    |      
 487551 |  139101 |     310206 |        6 | 1009.97 | shipped    | 2025-11-21 22:18:55.718411 +0000 +0000 | NULL                                   |      
 674636 |  106804 |      68569 |        5 | 1009.97 | returned   | 2026-05-01 15:42:48.988791 +0000 +0000 | NULL                                   |      
1703309 |  424508 |      64448 |        1 | 1009.97 | processing | 2026-05-04 21:35:41.219353 +0000 +0000 | NULL                                   |      
 861100 |  225281 |     192298 |       11 | 1009.97 | processing | 2026-01-01 00:54:27.828751 +0000 +0000 | 2026-03-11 22:03:46.723725 +0000 +0000 |      
 571821 |  464483 |     374228 |        8 | 1009.97 | cancelled  | 2025-11-25 06:10:08.565533 +0000 +0000 | 2026-02-14 11:19:36.167859 +0000 +0000 |      
 819375 |  417728 |     460530 |        5 | 1009.97 | processing | 2026-03-02 14:54:43.989771 +0000 +0000 | 2025-12-28 17:23:29.102601 +0000 +0000 |      
 781228 |  278288 |     140625 |       10 | 1009.97 | pending    | 2025-12-04 17:26:27.146895 +0000 +0000 | 2026-01-18 00:02:10.391371 +0000 +0000 |      
1145090 |  417212 |     107498 |        2 | 1009.97 | cancelled  | 2026-04-24 21:23:30.272239 +0000 +0000 | NULL                                   |      
 947403 |  261526 |     209212 |        9 | 1009.97 | processing | 2026-05-13 19:04:21.390973 +0000 +0000 | NULL                                   |      
 104910 |  364452 |     435860 |       10 | 1009.97 | cancelled  | 2026-01-26 21:57:52.12697 +0000 +0000  | 2026-03-15 16:40:29.650402 +0000 +0000 |      
1529825 |  269093 |     486028 |        7 | 1009.97 | returned   | 2026-03-29 16:09:12.06716 +0000 +0000  | 2026-04-24 02:23:44.836065 +0000 +0000 |      
 786956 |  149388 |      17223 |        9 | 1009.97 | cancelled  | 2025-12-23 08:57:39.527931 +0000 +0000 | 2026-03-28 00:41:04.008513 +0000 +0000 |      
 806387 |  169415 |     183170 |        9 | 1009.96 | processing | 2026-05-03 05:22:28.51067 +0000 +0000  | NULL                                   |      
1984281 |  452165 |     167421 |        7 | 1009.96 | delivered  | 2025-12-31 08:57:26.807951 +0000 +0000 | 2026-04-14 19:00:32.168793 +0000 +0000 |      
1947832 |  299377 |     391710 |        4 | 1009.96 | processing | 2025-11-30 05:54:03.508803 +0000 +0000 | NULL                                   |      
 564295 |  114824 |     307775 |        6 | 1009.96 | returned   | 2026-01-22 09:15:29.88953 +0000 +0000  | 2026-01-16 22:51:04.282792 +0000 +0000 |      
 956711 |  212957 |     312618 |        4 | 1009.96 | delivered  | 2026-02-26 07:10:42.292299 +0000 +0000 | 2025-12-16 17:22:57.411298 +0000 +0000 |      
1673658 |   28932 |     318340 |        7 | 1009.96 | delivered  | 2026-03-19 10:56:34.013669 +0000 +0000 | NULL                                   |      
  31548 |  247778 |     169408 |        3 | 1009.96 | returned   | 2025-12-19 12:53:16.830154 +0000 +0000 | 2026-02-05 18:35:49.541898 +0000 +0000 |      
 510064 |  183366 |     357867 |        5 | 1009.96 | cancelled  | 2026-04-07 13:49:11.192342 +0000 +0000 | 2026-03-31 14:02:44.890816 +0000 +0000 |      
  74876 |   11659 |     323844 |        3 | 1009.96 | returned   | 2025-12-16 10:00:18.720863 +0000 +0000 | NULL                                   |      
1658942 |   62512 |     136321 |        9 | 1009.96 | processing | 2026-05-13 08:17:39.995974 +0000 +0000 | 2026-02-23 08:27:00.305114 +0000 +0000 |      
 423181 |  338058 |     166309 |        2 | 1009.96 | delivered  | 2026-03-14 19:33:40.65246 +0000 +0000  | 2026-02-20 21:23:39.323801 +0000 +0000 |      
1645672 |  389796 |     108755 |        8 | 1009.96 | returned   | 2026-03-27 23:23:00.845291 +0000 +0000 | 2025-12-15 08:25:13.314932 +0000 +0000 |      
1567274 |  304364 |     336568 |        4 | 1009.96 | delivered  | 2026-02-06 17:02:22.913899 +0000 +0000 | NULL                                   |      
 912403 |  477838 |     143924 |        9 | 1009.96 | delivered  | 2026-03-03 02:59:36.665824 +0000 +0000 | 2025-12-09 14:47:54.986457 +0000 +0000 |      
1469378 |  422323 |     106280 |        5 | 1009.96 | cancelled  | 2026-01-03 22:43:32.979137 +0000 +0000 | 2026-04-04 12:32:23.357858 +0000 +0000 |      
 558109 |  398664 |      44616 |        2 | 1009.96 | cancelled  | 2026-05-18 05:03:57.525976 +0000 +0000 | 2026-02-03 21:12:58.69617 +0000 +0000  |      
 870604 |  106388 |     209780 |        5 | 1009.96 | cancelled  | 2026-04-10 05:03:32.576347 +0000 +0000 | 2026-01-24 19:21:17.068504 +0000 +0000 |      
1138478 |  390135 |      78722 |        8 | 1009.96 | cancelled  | 2026-02-17 12:54:35.997896 +0000 +0000 | 2025-12-28 08:35:19.771405 +0000 +0000 |      
 960887 |  399007 |     203748 |       10 | 1009.96 | returned   | 2026-01-16 09:18:24.649725 +0000 +0000 | NULL                                   |      
 637924 |   77736 |     441643 |        4 | 1009.96 | processing | 2025-12-19 13:23:46.247906 +0000 +0000 | NULL                                   |      
1655862 |  113935 |     489005 |        7 | 1009.96 | returned   | 2026-02-22 04:24:42.348644 +0000 +0000 | 2026-01-17 18:47:04.566583 +0000 +0000 |      
1684241 |  423096 |     424054 |        7 | 1009.96 | cancelled  | 2026-01-23 03:09:46.823713 +0000 +0000 | 2026-05-16 21:32:12.584421 +0000 +0000 |      
1427799 |  355513 |     416942 |        2 | 1009.96 | delivered  | 2025-12-06 12:43:22.35574 +0000 +0000  | 2026-04-20 12:53:17.551908 +0000 +0000 |      
1304649 |   16120 |     212922 |        3 | 1009.96 | shipped    | 2026-05-08 07:57:50.173249 +0000 +0000 | 2026-01-08 06:25:46.300034 +0000 +0000 |      
 521361 |   83056 |      95333 |        5 | 1009.96 | cancelled  | 2026-04-03 04:43:16.160964 +0000 +0000 | 2026-05-11 22:29:38.440266 +0000 +0000 |      
1683483 |   24189 |     127458 |       11 | 1009.96 | shipped    | 2025-12-02 19:23:40.341705 +0000 +0000 | 2026-05-11 09:10:16.273221 +0000 +0000 |      
1589441 |  422011 |     424433 |        7 | 1009.96 | pending    | 2025-12-10 09:30:22.216612 +0000 +0000 | NULL                                   |      
 321266 |  258464 |     448763 |        5 | 1009.95 | returned   | 2026-02-13 00:28:14.786984 +0000 +0000 | NULL                                   |      
1661108 |   44814 |     334437 |        3 | 1009.95 | processing | 2026-01-16 08:11:06.856702 +0000 +0000 | NULL                                   |      
1438555 |   66263 |     246129 |        8 | 1009.95 | delivered  | 2026-01-28 03:51:11.108781 +0000 +0000 | 2026-02-02 10:21:03.91148 +0000 +0000  |      
1972713 |  289345 |      87364 |        2 | 1009.95 | processing | 2026-04-04 05:58:30.002948 +0000 +0000 | NULL                                   |      
 164290 |  420932 |     154920 |        3 | 1009.95 | processing | 2025-11-23 20:47:03.674062 +0000 +0000 | 2026-04-02 23:10:46.098944 +0000 +0000 |      
1165182 |  352248 |     411080 |       11 | 1009.95 | processing | 2026-01-18 12:27:19.5265 +0000 +0000   | NULL                                   |      
 616101 |   91170 |     409113 |        2 | 1009.95 | delivered  | 2025-11-28 06:17:30.775056 +0000 +0000 | NULL                                   |      
 850566 |   28889 |     451210 |        8 | 1009.95 | delivered  | 2025-12-21 11:41:03.092849 +0000 +0000 | 2025-12-20 01:32:24.046382 +0000 +0000 |      
1888214 |  127853 |     498653 |        2 | 1009.95 | delivered  | 2026-01-21 17:00:46.182942 +0000 +0000 | 2026-02-05 14:45:51.732191 +0000 +0000 |      
1581194 |  102798 |     163993 |       10 | 1009.95 | cancelled  | 2026-03-30 06:30:58.613233 +0000 +0000 | 2026-04-30 09:58:35.115588 +0000 +0000 |      
(100 rows)
